row,column,hsv,h,s,v
0,0,"(0, 0, 100)",0,0,100
0,1,"(37, 4, 89)",37,4,89
0,2,"(60, 5, 82)",60,5,82
0,3,"(26, 10, 61)",26,10,61
0,4,"(16, 9, 47)",16,9,47
0,5,"(322, 24, 100)",322,24,100
0,6,"(321, 40, 100)",321,40,100
0,7,"(342, 75, 76)",342,75,76
0,8,"(352, 76, 87)",352,76,87
0,9,"(348, 77, 68)",348,77,68
1,0,"(192, 2, 83)",192,2,83
1,1,"(180, 3, 75)",180,3,75
1,2,"(174, 7, 58)",174,7,58
1,3,"(192, 14, 27)",192,14,27
1,4,"(0, 0, 5)",0,0,5
1,5,"(334, 43, 100)",334,43,100
1,6,"(341, 62, 96)",341,62,96
1,7,"(334, 63, 97)",334,63,97
1,8,"(334, 60, 86)",334,60,86
1,9,"(332, 70, 65)",332,70,65
2,0,"(340, 13, 96)",340,13,96
2,1,"(53, 40, 98)",53,40,98
2,2,"(53, 54, 98)",53,54,98
2,3,"(46, 64, 100)",46,64,100
2,4,"(142, 24, 91)",142,24,91
2,5,"(223, 16, 94)",223,16,94
2,6,"(295, 38, 81)",295,38,81
2,7,"(298, 47, 64)",298,47,64
2,8,"(282, 50, 63)",282,50,63
2,9,"(276, 56, 47)",276,56,47
3,0,"(147, 74, 77)",147,74,77
3,1,"(149, 89, 72)",149,89,72
3,2,"(148, 85, 48)",148,85,48
3,3,"(153, 80, 36)",153,80,36
3,4,"(160, 49, 22)",160,49,22
3,5,"(315, 57, 48)",315,57,48
3,6,"(336, 69, 46)",336,69,46
3,7,"(276, 51, 44)",276,51,44
3,8,"(273, 53, 35)",273,53,35
3,9,"(239, 54, 47)",239,54,47
4,0,"(185, 30, 93)",185,30,93
4,1,"(163, 87, 75)",163,87,75
4,2,"(163, 85, 48)",163,85,48
4,3,"(187, 83, 45)",187,83,45
4,4,"(168, 76, 29)",168,76,29
4,5,"(244, 52, 36)",244,52,36
4,6,"(218, 61, 30)",218,61,30
4,7,"(325, 41, 23)",325,41,23
4,8,"(325, 41, 23)",325,41,23
5,0,"(184, 80, 72)",184,80,72
5,1,"(192, 70, 84)",192,70,84
5,2,"(196, 83, 76)",196,83,76
5,3,"(206, 77, 78)",206,77,78
5,4,"(168, 76, 29)",168,76,29
5,5,"(353, 76, 87)",353,76,87
5,6,"(199, 89, 52)",199,89,52
5,7,"(168, 76, 29)",168,76,29
5,8,"(276, 56, 47)",276,56,47
5,9,"(26, 10, 61)",26,10,61
6,0,"(219, 67, 71)",219,67,71
6,1,"(199, 88, 52)",199,88,52
6,2,"(222, 77, 56)",222,77,56
6,3,"(226, 60, 33)",226,60,33
6,4,"(353, 22, 16)",353,22,16
